Variable,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
PM2.5,1.0,0.879,0.478,0.664,0.78,-0.15,-0.132,0.02,0.113,-0.014,-0.271
PM10,0.879,1.0,0.461,0.646,0.692,-0.11,-0.096,-0.018,0.068,-0.027,-0.178
SO2,0.478,0.461,1.0,0.496,0.523,-0.165,-0.32,0.221,-0.266,-0.04,-0.109
NO2,0.664,0.646,0.496,1.0,0.694,-0.466,-0.277,0.177,-0.033,-0.044,-0.396
CO,0.78,0.692,0.523,0.694,1.0,-0.307,-0.324,0.188,-0.06,-0.013,-0.29
O3,-0.15,-0.11,-0.165,-0.466,-0.307,1.0,0.592,-0.447,0.313,0.023,0.294
TEMP,-0.132,-0.096,-0.32,-0.277,-0.324,0.592,1.0,-0.813,0.82,0.038,0.033
PRES,0.02,-0.018,0.221,0.177,0.188,-0.447,-0.813,1.0,-0.75,-0.061,0.065
DEWP,0.113,0.068,-0.266,-0.033,-0.06,0.313,0.82,-0.75,1.0,0.086,-0.297
RAIN,-0.014,-0.027,-0.04,-0.044,-0.013,0.023,0.038,-0.061,0.086,1.0,0.021
WSPM,-0.271,-0.178,-0.109,-0.396,-0.29,0.294,0.033,0.065,-0.297,0.021,1.0
