Station,PM2.5,PM10,SO2,NO2,CO,O3
Aotizhongxin,82.54,110.21,17.46,59.07,1264.69,55.33
Changping,70.99,94.79,14.94,44.21,1156.99,57.98
Dingling,66.85,84.11,11.8,27.3,925.11,70.53
Dongsi,86.14,110.35,18.51,53.95,1331.91,57.7
Guanyuan,82.9,109.37,17.61,58.14,1258.33,54.82
Gucheng,84.07,119.26,15.71,55.82,1338.1,58.0
Huairou,69.5,92.42,12.45,32.08,1019.67,60.87
Nongzhanguan,85.08,109.38,18.76,58.1,1327.77,58.43
Shunyi,79.44,99.27,13.45,44.09,1197.9,54.22
Tiantan,82.03,106.54,14.51,53.26,1305.33,56.15
Wanliu,83.47,110.71,18.41,65.67,1328.76,46.91
Wanshouxigong,85.07,112.51,17.36,55.5,1373.62,55.92
