Country,Composite_Feature_Score,Feature_Based_Rank,Happiness_Score,Actual_Happiness_Rank
India,0.6853911019565002,1,4.45,13
United Kingdom,0.6124514843227035,2,5.67,9
Japan,0.59106201399607,3,6.29,5
Finland,0.5840437682874619,4,6.67,3
South Korea,0.550450096916489,5,5.84,8
Norway,0.5474939833638247,6,6.25,6
China,0.5306197612323058,7,6.03,7
Brazil,0.5103191879655159,8,6.98,2
United States,0.5059600149151536,9,4.44,14
South Africa,0.5036484062087024,10,3.53,20
Germany,0.5007091454257653,11,3.61,18
Switzerland,0.4858600439214389,12,4.46,12
France,0.4794736438332972,13,4.36,15
Netherlands,0.4600476872348051,14,6.41,4
Denmark,0.4556747508041961,15,3.61,18
Iceland,0.4166575336259022,16,4.68,11
Australia,0.39989033724909845,17,5.31,10
Canada,0.39056436270694533,18,7.34,1
Sweden,0.3833147957560657,19,3.63,17
New Zealand,0.2066236493469722,20,3.87,16
